address,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"3171 Balfour Rd Brentwood, CA 94513",37.926361,-121.721363,1,rooftop,3171,"Balfour Rd",,,Brentwood,CA,"Contra Costa County",94513,US,"Contra Costa"
"1175 2nd St Brentwood, CA 94513",37.936741,-121.70004,1,rooftop,1175,"2nd St",,,Brentwood,CA,"Contra Costa County",94513,US,"Contra Costa"
"218 E Highway 246 Bldg 3 Buellton, CA 93427",34.610242,-120.18878,1,rooftop,218,"E Hwy 246",Bldg,,Buellton,CA,"Santa Barbara County",93427,US,"Santa Barbara"
"7530 Orangethorpe Ave Buena Park, CA 90621",33.857325,-118.000901,1,rooftop,7530,"Orangethorpe Ave",,,"Buena Park",CA,"Orange County",90621,US,Orange
"7065 La Palma Ave. Buena Park, CA 90620",33.847088,-118.010275,1,rooftop,7065,"La Palma Ave",,,"Buena Park",CA,"Orange County",90620,US,Orange
"8850 Valley View Street Buena Park, CA 90620",33.834047,-118.028108,1,range_interpolation,8850,"Valley View St",,,"Buena Park",CA,"Orange County",90620,US,"TIGER/Line® dataset from the US Census Bureau"
"1800 W Empire Ave Burbank, CA 91504",34.189635,-118.330559,1,rooftop,1800,"W Empire Ave",,,Burbank,CA,"Los Angeles County",91504,US,"Los Angeles"
"1033 N. Hollywood Way Burbank, CA 91505",34.169172,-118.348001,1,rooftop,1033,"N Hollywood Way",,,Burbank,CA,"Los Angeles County",91505,US,"City of Burbank"
"1015 N. San Fernando Boulevard Burbank, CA 91504",34.187354,-118.319089,1,rooftop,1015,"N San Fernando Blvd",,,Burbank,CA,"Los Angeles County",91504,US,"City of Burbank"
"101 E. Alameda Ave. Burbank, CA 91502",34.173666,-118.301504,1,rooftop,101,"E Alameda Ave",,,Burbank,CA,"Los Angeles County",91502,US,"City of Burbank"
"1820 W. Verdugo Ave. Burbank, CA 91506",34.166917,-118.324483,1,rooftop,1820,"W Verdugo Ave",,,Burbank,CA,"Los Angeles County",91506,US,"City of Burbank"
"2500 W. Victory Blvd Burbank, CA 91505",34.183706,-118.338844,1,rooftop,2500,"W Victory Blvd",,,Burbank,CA,"Los Angeles County",91505,US,"City of Burbank"
"511 N. Hollywood Way Burbank, CA 91505",34.159718,-118.343558,1,rooftop,511,"N Hollywood Way",,,Burbank,CA,"Los Angeles County",91505,US,"City of Burbank"
"1871 El Camino Real Burlingame, CA 94010",37.596062,-122.385232,1,range_interpolation,1871,"El Camino Real",,,Burlingame,CA,"San Mateo County",94010,US,"TIGER/Line® dataset from the US Census Bureau"
"420 E 2nd St Calexico, CA 92231",32.666449,-115.492522,1,rooftop,420,"E 2nd St",,,Calexico,CA,"Imperial County",92231,US,Imperial
"209 W Ventura Blvd Camarillo, CA 93010",34.217383,-119.072652,1,rooftop,209,"W Ventura Blvd",,,Camarillo,CA,"Ventura County",93010,US,Ventura
"5800 Santa Rosa Rd Camarillo, CA 93012",34.22582,-118.987971,1,rooftop,5800,"Santa Rosa Rd",,,Camarillo,CA,"Ventura County",93012,US,Ventura
"5259 Mission Oaks Blvd. Camarillo, CA 93012",34.229198,-118.998965,1,rooftop,5259,"Mission Oaks Blvd",,,Camarillo,CA,"Ventura County",93012,US,Ventura
"351 Carmen Dr., Suite B Camarillo, CA 93010",34.219181,-119.053191,1,rooftop,351,"Carmen Dr",Ste,B,Camarillo,CA,"Ventura County",93010,US,Ventura
"760 Arneill Rd Camarillo, CA 93010",34.225331,-119.038921,1,range_interpolation,760,"Arneill Rd",,,Camarillo,CA,"Ventura County",93010,US,"TIGER/Line® dataset from the US Census Bureau"
"3500 Palmer Dr Cameron Park, CA 95682",38.660592,-120.966826,1,rooftop,3500,"Palmer Dr",,,"Cameron Park",CA,"El Dorado County",95682,US,"El Dorado"
"3020 Green Valley Rd Ste B Cameron Park, CA 95682",38.697451,-121.002965,1,rooftop,3020,"Green Valley Rd",Ste,B,"Cameron Park",CA,"El Dorado County",95682,US,"El Dorado"
"1720 S Bascom Ave Campbell, CA 95008",37.292334,-121.931618,1,range_interpolation,1720,"S Bascom Ave",,,Campbell,CA,"Santa Clara County",95008,US,"TIGER/Line® dataset from the US Census Bureau"
"148 North San Tomas Aquino Rd. Campbell, CA 95008",37.2906,-121.976444,1,range_interpolation,148,"N San Tomas Aquino Rd",,,Campbell,CA,"Santa Clara County",95008,US,"TIGER/Line® dataset from the US Census Bureau"
"6700 Topanga Canyon Blvd Canoga Park, CA 91303",34.192164,-118.605655,1,rooftop,6700,"Topanga Canyon Blvd",,,"Canoga Park",CA,"Los Angeles County",91303,US,"Los Angeles"
"21051 Sherman Way Canoga Park, CA 91303",34.20125,-118.592155,1,rooftop,21051,"Sherman Way",,,"Canoga Park",CA,"Los Angeles County",91303,US,"Los Angeles"
"19424 Soledad Canyon Rd. Canyon Country, CA 91351",34.415254,-118.474597,1,rooftop,19424,"Soledad Canyon Rd",,,"Canyon Country",CA,"Los Angeles County",91351,US,"Los Angeles"
"1825 41st Ave Capitola, CA 95010",36.975818,-121.965067,1,range_interpolation,1825,"41st Ave",,,Capitola,CA,"Santa Cruz County",95010,US,"TIGER/Line® dataset from the US Census Bureau"
"1750 41st Ave Capitola, CA 95010",36.97485,-121.963948,1,rooftop,1750,"41st Ave",,,Capitola,CA,"Santa Cruz County",95010,US,"City of Santa Cruz"
"809 Bay Ave Capitola, CA 95010",36.981279,-121.95582,1,range_interpolation,809,"Bay Ave",,,Capitola,CA,"Santa Cruz County",95010,US,"TIGER/Line® dataset from the US Census Bureau"
"2650 Gateway Road Carlsbad, CA 92009",33.129076,-117.253788,1,rooftop,2650,"Gateway Rd",,,Carlsbad,CA,"San Diego County",92009,US,"San Diego Geographic Information Source - JPA"
"2510 El Camino Real Carlsbad, CA 92008",33.180927,-117.326874,1,range_interpolation,2510,"El Camino Real",,,Carlsbad,CA,"San Diego County",92008,US,"TIGER/Line® dataset from the US Census Bureau"
"7740 Rancho Santa Fe Road Carlsbad, CA 92009",33.078627,-117.238958,1,range_interpolation,7740,"Rancho Santa Fe Rd",,,Carlsbad,CA,"San Diego County",92009,US,"TIGER/Line® dataset from the US Census Bureau"
"6 The Crossroads Carmel, CA 93923",36.539096,-121.909576,1,range_interpolation,6,"The Crossroads",,,Carmel,CA,"Monterey County",93923,US,"TIGER/Line® dataset from the US Census Bureau"
"4959 Marconi Ave Carmichael, CA 95608",38.618129,-121.347498,1,rooftop,4959,"Marconi Ave",,,Carmichael,CA,"Sacramento County",95608,US,Sacramento
"1036 Casitas Pass Rd Carpinteria, CA 93013",34.395908,-119.5132,1,range_interpolation,1036,"Casitas Pass Rd",,,Carpinteria,CA,"Santa Barbara County",93013,US,"TIGER/Line® dataset from the US Census Bureau"
"20700 Avalon Blvd Ste 700 Carson, CA 90746",33.843065,-118.259827,1,rooftop,20700,"Avalon Blvd",Ste,700,Carson,CA,"Los Angeles County",90746,US,"City of Carson"
"651 W Sepulveda Blvd Carson, CA 90745",33.809363,-118.285648,1,rooftop,651,"W Sepulveda Blvd",,,Carson,CA,"Los Angeles County",90745,US,"City of Carson"
"23806 Main Street Carson, CA 90745",33.808411,-118.275195,1,rooftop,23806,"Main St",,,Carson,CA,"Los Angeles County",90745,US,"City of Carson"
"150 West Carson Street Carson, CA 90745",33.830976,-118.279492,1,rooftop,150,"W Carson St",,,Carson,CA,"Los Angeles County",90745,US,"City of Carson"
"3667 Castro Valley Blvd Castro Valley, CA 94546",37.694502,-122.071372,1,rooftop,3667,"Castro Valley Blvd",,,"Castro Valley",CA,"Alameda County",94546,US,Alameda
"68-010 Vista Chino Cathedral City, CA 92234",33.818256,-116.466743,0.33,place,,,,,"Cathedral City",CA,"Riverside County",92234,US,"TIGER/Line® dataset from the US Census Bureau"
"67750 E Palm Canyon Dr Cathedral City, CA 92234",33.787526,-116.480224,1,rooftop,67750,"E Palm Canyon Dr",,,"Cathedral City",CA,"Riverside County",92234,US,Riverside
"31575 Date Palm Dr. Cathedral City, CA 92234",33.81909,-116.459672,1,rooftop,31575,"Date Palm Dr",,,"Cathedral City",CA,"Riverside County",92234,US,Riverside
"20200 Bloomfield Ave Cerritos, CA 90703",33.847095,-118.062168,1,rooftop,20200,"Bloomfield Ave",,,Cerritos,CA,"Los Angeles County",90703,US,"Los Angeles"
"11525 South St Cerritos, CA 90703",33.859412,-118.087274,1,rooftop,11525,"South St",,,Cerritos,CA,"Los Angeles County",90703,US,"Los Angeles"
"13303 East South Street Cerritos, CA 90703",33.859959,-118.174034,0.5,street_center,,"E South St",,,"Long Beach",CA,"Los Angeles County",90805,US,"TIGER/Line® dataset from the US Census Bureau"
"1120 Forest Ave. Chico, CA 95928",39.73881,-121.805387,1,rooftop,1120,"Forest Ave",,,Chico,CA,"Butte County",95928,US,Butte
"2780 Esplanade Chico, CA 95973",39.760981,-121.86472,1,rooftop,2780,Esplanade,,,Chico,CA,"Butte County",95973,US,Butte
"1496 East Ave Chico, CA 95926",39.761677,-121.815614,1,rooftop,1496,"East Ave",,,Chico,CA,"Butte County",95926,US,Butte
"801 East Ave Chico, CA 95926",39.758271,-121.846811,1,rooftop,801,"East Ave",,,Chico,CA,"Butte County",95926,US,Butte
"5555 Philadelphia St Chino, CA 91710",34.032788,-117.681927,1,rooftop,5555,"Philadelphia St",,,Chino,CA,"San Bernardino County",91710,US,"San Bernardino"
"3944 Grand Ave Chino, CA 91710",34.001487,-117.718767,1,rooftop,3944,"Grand Ave",,,Chino,CA,"San Bernardino County",91710,US,"San Bernardino"
"12101 Central Ave., Central And Philadelphia Chino, CA 91710",34.033139,-117.688714,1,rooftop,12101,"Central Ave",,,Chino,CA,"San Bernardino County",91710,US,"San Bernardino"
"13181 Peyton Drive Chino Hills, CA 91709",34.014221,-117.744639,1,range_interpolation,13181,"Peyton Dr",,,"Chino Hills",CA,"San Bernardino County",91709,US,"TIGER/Line® dataset from the US Census Bureau"
"3290 Chino Hills Parkway Chino Hills, CA 91709",33.983065,-117.733077,1,rooftop,3290,"Chino Hills Pkwy",,,"Chino Hills",CA,"San Bernardino County",91709,US,"San Bernardino"
"866 Eastlake Parkway Chula Vista, CA 91914",32.651774,-116.970615,1,rooftop,866,"Eastlake Pkwy",,,"Chula Vista",CA,"San Diego County",91914,US,Sandoval
"1240 Broadway Chula Vista, CA 91911",32.604726,-117.080953,1,rooftop,1240,Broadway,,,"Chula Vista",CA,"San Diego County",91911,US,"San Diego Geographic Information Source - JPA"
"16 3rd Avenue Ext. Chula Vista, CA 91910",32.649929,-117.085166,1,range_interpolation,16,"3rd Ave",,,"Chula Vista",CA,"San Diego County",91910,US,"TIGER/Line® dataset from the US Census Bureau"
"645 E. Palomar St. Chula Vista, CA 91911",32.615216,-117.025521,1,rooftop,645,"E Palomar St E",,,"Chula Vista",CA,"San Diego County",91911,US,"San Diego Geographic Information Source - JPA"
"555 Broadway Ste 1054 Chula Vista, CA 91910",32.629719,-117.08569,1,rooftop,555,Broadway,Ste,1054,"Chula Vista",CA,"San Diego County",91910,US,"San Diego Geographic Information Source - JPA"
"1376 3rd Ave Chula Vista, CA 91911",32.603999,-117.066259,1,rooftop,1376,"3rd Ave",,,"Chula Vista",CA,"San Diego County",91911,US,"San Diego Geographic Information Source - JPA"
"380 E H St Chula Vista, CA 91910",32.638599,-117.050241,1,rooftop,380,"E H St",,,"Chula Vista",CA,"San Diego County",91910,US,"San Diego Geographic Information Source - JPA"
"691 3rd Ave. Chula Vista, CA 91910",32.628039,-117.07415,1,rooftop,691,"3rd Ave",,,"Chula Vista",CA,"San Diego County",91910,US,"San Diego Geographic Information Source - JPA"
"5837 Sunrise Blvd Citrus Heights, CA 95610",38.672628,-121.273755,1,rooftop,5837,"Sunrise Blvd",,,"Citrus Heights",CA,"Sacramento County",95610,US,Sacramento
"17751 Colima Rd City Of Industry, CA 91748",33.991563,-117.918644,1,rooftop,17751,"Colima Rd",,,"City of Industry",CA,"Los Angeles County",91748,US,"Los Angeles"
"21590 East Valley Blvd. City Of Industry, CA 91789",34.026,-117.834877,0.8,rooftop,21590,"Valley Blvd",,,Walnut,CA,"Los Angeles County",91789,US,"Los Angeles"
"6490 Clayton Rd Clayton, CA 94517",37.942237,-121.931575,1,rooftop,6490,"Clayton Rd",,,Clayton,CA,"Contra Costa County",94517,US,"Contra Costa"
"1111 S Cloverdale Blvd Cloverdale, CA 95425",38.785063,-123.014255,1,rooftop,1111,"S Cloverdale Blvd",,,Cloverdale,CA,"Sonoma County",95425,US,Sonoma
"900 Shaw Ave Clovis, CA 93612",36.806935,-119.698592,1,rooftop,900,"Shaw Ave",,,Clovis,CA,"Fresno County",93612,US,Fresno
"695 W Herndon Ave Clovis, CA 93612",36.840194,-119.728338,1,rooftop,695,"W Herndon Ave",,,Clovis,CA,"Fresno County",93612,US,Fresno
"2133 Shaw Ave Clovis, CA 93611",36.809505,-119.675657,1,rooftop,2133,"Shaw Ave",,,Clovis,CA,"Fresno County",93611,US,Fresno
"1107 N Willow Ave Clovis, CA 93611",36.850002,-119.727935,1,rooftop,1107,"N Willow Ave",,,Clovis,CA,"Fresno County",93611,US,Fresno
"1794 Ashlan Ave Clovis, CA 93611",36.793203,-119.682876,1,rooftop,1794,"Ashlan Ave",,,Clovis,CA,"Fresno County",93611,US,Fresno
"10 Shaw Avenue Clovis, CA 93612",36.808106,-119.70876,1,rooftop,10,"Shaw Ave",,,Clovis,CA,"Fresno County",93612,US,Fresno
"1405 Herndon Ave., Clovis, CA 93611",36.838047,-119.690202,1,rooftop,1405,"Herndon Ave",,,Clovis,CA,"Fresno County",93611,US,Fresno
"84010 Avenue 50 Coachella, CA 92236",33.685987,-116.198525,1,rooftop,84010,"Ave 50",,,Coachella,CA,"Riverside County",92236,US,Riverside
"5001 Junipero Serra Blvd Colma, CA 94014",37.673298,-122.46466,1,rooftop,5001,"Junipero Serra Blvd",,,Colma,CA,"San Mateo County",94014,US,"San Mateo"
"1010 N. Pepper Avenue Colton, CA 92324",34.078014,-117.35279,1,range_interpolation,1010,"N Pepper Ave",,,Colton,CA,"San Bernardino County",92324,US,"TIGER/Line® dataset from the US Census Bureau"
"5600 Whittier Blvd Commerce, CA 90022",34.017946,-118.150348,1,rooftop,5600,"Whittier Blvd",,,Commerce,CA,"Los Angeles County",90022,US,"Los Angeles"
"1621 S Alameda St Compton, CA 90220",33.879758,-118.219497,1,rooftop,1621,"S Alameda St",,,Compton,CA,"Los Angeles County",90220,US,"Los Angeles"
"220 East Compton Boulevard Compton, CA 90220",33.895037,-118.221645,1,rooftop,220,"E Compton Blvd",,,Compton,CA,"Los Angeles County",90220,US,"Los Angeles"
"901 S. Central Avenue Compton, CA 90220",33.887652,-118.250614,1,rooftop,901,"S Central Ave",,,Compton,CA,"Los Angeles County",90220,US,"Los Angeles"
"2677 Clayton Rd Concord, CA 94519",37.975773,-122.027645,1,rooftop,2677,"Clayton Rd",,,Concord,CA,"Contra Costa County",94519,US,"Contra Costa"
"4424 Treat Blvd Concord, CA 94521",37.962574,-121.993093,1,rooftop,4424,"Treat Blvd",,,Concord,CA,"Contra Costa County",94521,US,"Contra Costa"
"5408 Ygnacio Valley Rd Concord, CA 94521",37.949191,-121.959212,0.9,nearest_rooftop_match,5410,"Ygnacio Valley Rd",,,Concord,CA,"Contra Costa County",94521,US,"Contra Costa"
"2615 Tuscanny St Corona, CA 92881",33.82688,-117.516376,1,rooftop,2615,"Tuscanny St",,,Corona,CA,"Riverside County",92881,US,Riverside
"11950 De Palma Rd. Corona, CA 92883",33.746625,-117.451268,1,rooftop,11950,"De Palma Rd",,,Corona,CA,"Riverside County",92883,US,Riverside
"1299 E Ontario Ave Corona, CA 92881",33.84824,-117.542598,1,range_interpolation,1299,"E Ontario Ave",,,Corona,CA,"Riverside County",92881,US,"TIGER/Line® dataset from the US Census Bureau"
"1183 Magnolia Ave. Corona, CA 92879",33.861907,-117.548989,1,range_interpolation,1183,"Magnolia Ave",,,Corona,CA,"Riverside County",92879,US,"TIGER/Line® dataset from the US Census Bureau"
"1322 W. 6th St. Corona, CA 92882",33.877196,-117.589296,1,rooftop,1322,"W 6th St",,,Corona,CA,"Riverside County",92882,US,Riverside
"3030 Harbor Blvd Ste A Costa Mesa, CA 92626",33.681156,-117.917793,1,rooftop,3030,"Harbor Blvd",Ste,A,"Costa Mesa",CA,"Orange County",92626,US,Orange
"2701 Harbor Blvd., Bldg B Costa Mesa, CA 92626",33.67057,-117.91933,1,range_interpolation,2701,"Harbor Blvd",Bldg,B,"Costa Mesa",CA,"Orange County",92626,US,"TIGER/Line® dataset from the US Census Bureau"
"1150 Baker St. Costa Mesa, CA 92626",33.680019,-117.90768,1,range_interpolation,1150,"Baker St",,,"Costa Mesa",CA,"Orange County",92626,US,"TIGER/Line® dataset from the US Census Bureau"
"1835 Newport Boulevard #c Costa Mesa, CA 92627",33.642473,-117.920118,1,rooftop,1835,"Newport Blvd",Ste,C,"Costa Mesa",CA,"Orange County",92627,US,Orange
"175 E 17th St Costa Mesa, CA 92627",33.635669,-117.919398,1,range_interpolation,175,"E 17th St",,,"Costa Mesa",CA,"Orange County",92627,US,"TIGER/Line® dataset from the US Census Bureau"
"575 S. Citrus Ave. Covina, CA 91723",34.079332,-117.890543,1,rooftop,575,"S Citrus Ave",,,Covina,CA,"Los Angeles County",91723,US,"Los Angeles"
"206 N. Azusa Avenue Covina, CA 91722",34.087341,-117.906478,1,rooftop,206,"N Azusa Ave",,,Covina,CA,"Los Angeles County",91722,US,"Los Angeles"
"657 Us Highway 101 N. Crescent City, CA 95531",41.762136,-124.19603,1,rooftop,657,"Hwy 101 N",,,"Crescent City",CA,"Del Norte County",95531,US,"Del Norte"
"10820 Jefferson Blvd Culver City, CA 90230",33.999108,-118.393947,1,rooftop,10820,"Jefferson Blvd",,,"Culver City",CA,"Los Angeles County",90230,US,"City of Culver City"
"6000 Sepulveda Blvd., Ste 2250 Culver City, CA 90230",33.985635,-118.395263,1,rooftop,6000,"Sepulveda Blvd",Ste,2250,"Culver City",CA,"Los Angeles County",90230,US,"City of Culver City"
"6299 South Bristol Parkway Culver City, CA 90230",33.982403,-118.392634,1,rooftop,6299,"Bristol Pkwy",,,"Culver City",CA,"Los Angeles County",90230,US,"Los Angeles"
"10455 S De Anza Blvd Cupertino, CA 95014",37.316414,-122.033549,1,rooftop,10455,"S De Anza Blvd",,,Cupertino,CA,"Santa Clara County",95014,US,"City of Cupertino"
"6835 Katella Ave Cypress, CA 90630",33.803921,-118.013149,1,rooftop,6835,"Katella Ave",,,Cypress,CA,"Orange County",90630,US,Orange
"5501 Ball Road Cypress, CA 90630",33.817353,-118.036051,1,rooftop,5501,"Ball Rd",,,Cypress,CA,"Orange County",90630,US,Orange
"135 Pierce St. Daly City, CA 94015",37.685857,-122.472713,1,range_interpolation,135,"Pierce St",,,"Daly City",CA,"San Mateo County",94015,US,"TIGER/Line® dataset from the US Census Bureau"
"133 Serramonte Ctr Daly City, CA 94015",37.669267,-122.475034,1,range_interpolation,133,"Serramonte Blvd",,,"Daly City",CA,"San Mateo County",94015,US,"TIGER/Line® dataset from the US Census Bureau"
"375 Gellert Blvd. Daly City, CA 94015",37.665404,-122.468201,1,rooftop,375,"Gellert Blvd",,,"Daly City",CA,"San Mateo County",94015,US,"San Mateo"
"32900 Pacific Coast Highway Dana Point, CA 92629",33.485508,-117.723804,0.82,nearest_rooftop_match,32880,"Pacific Coast Hw",,,"Dana Point",CA,"Orange County",92629,US,Orange
"32575 Golden Lantern St Dana Point, CA 92629",33.488832,-117.698328,1,range_interpolation,32575,"Golden Lantern St",,,"Dana Point",CA,"Orange County",92629,US,"TIGER/Line® dataset from the US Census Bureau"
"3420 Camino Tassajara Danville, CA 94506",37.798318,-121.918943,0.86,nearest_rooftop_match,3400,"Camino Tassajara Rd",,,Danville,CA,"Contra Costa County",94506,US,"Contra Costa"
"650 San Ramon Valley Blvd Danville, CA 94526",37.813583,-121.994836,1,rooftop,650,"San Ramon Valley Blvd",,,Danville,CA,"Contra Costa County",94526,US,"Contra Costa"
"4601 2nd St Davis, CA 95618",38.554357,-121.698483,1,rooftop,4601,"2nd St",,,Davis,CA,"Yolo County",95618,US,Yolo
"1550 E Covell Blvd Davis, CA 95616",38.560995,-121.731763,1,rooftop,1550,"E Covell Blvd",,,Davis,CA,"Yolo County",95616,US,Yolo
"1471 W Covell Blvd Davis, CA 95616",38.561555,-121.766338,1,rooftop,1471,"W Covell Blvd",,,Davis,CA,"Yolo County",95616,US,Yolo
"2662 Del Mar Heights Rd Del Mar, CA 92014",32.950113,-117.246212,1,rooftop,2662,"Del Mar Heights Rd",,,"Del Mar",CA,"San Diego County",92014,US,"San Diego Geographic Information Source - JPA"
"747 Grand Ave Diamond Bar, CA 91765",34.005738,-117.820707,0.9,range_interpolation,747,"Grand Ave",,,"Diamond Bar",CA,"Los Angeles County",91765,US,"TIGER/Line® dataset from the US Census Bureau"
"300 South Diamond Bar Boulevard Diamond Bar, CA 91765",34.019566,-117.808245,1,rooftop,300,"S Diamond Bar Blvd",,,"Diamond Bar",CA,"Los Angeles County",91765,US,"Los Angeles"
"14830 Highway 4 Discovery Bay, CA 94505",37.889811,-121.609711,0.6,street_center,,"State Rte 4",,,"Discovery Bay",CA,"Contra Costa County",94505,US,"TIGER/Line® dataset from the US Census Bureau"
"1057 N 1st St Dixon, CA 95620",38.455483,-121.823316,1,rooftop,1057,"N 1st St",,,Dixon,CA,"Solano County",95620,US,Solano
"8400 Firestone Blvd. Downey, CA 90241",33.938524,-118.131472,1,rooftop,8400,"Firestone Blvd",,,Downey,CA,"Los Angeles County",90241,US,"Los Angeles"
"7915 Florence Avenue Downey, CA 90240",33.954422,-118.131403,1,range_interpolation,7915,"Florence Ave",,,Downey,CA,"Los Angeles County",90240,US,"TIGER/Line® dataset from the US Census Bureau"
"8008 Firestone Boulevard Downey, CA 90241",33.941954,-118.137831,1,rooftop,8008,"Firestone Blvd",,,Downey,CA,"Los Angeles County",90241,US,"Los Angeles"
"1050 Huntington Dr Duarte, CA 91010",34.137514,-117.98307,1,rooftop,1050,"Huntington Dr",,,Duarte,CA,"Los Angeles County",91010,US,"Los Angeles"
"2315 Huntington Dr Duarte, CA 91010",34.140249,-117.954938,0.78,nearest_rooftop_match,2307,"E Huntington Dr",,,Duarte,CA,"Los Angeles County",91010,US,"Los Angeles"
"7200 Amador Plaza Rd Dublin, CA 94568",37.70667,-121.931852,1,rooftop,7200,"Amador Plaza Rd",,,Dublin,CA,"Alameda County",94568,US,Alameda
"2800 Dublin Blvd Dublin, CA 94568",37.702839,-121.853523,1,rooftop,2800,"Dublin Blvd",,,Dublin,CA,"Alameda County",94568,US,Alameda
"7201 Regional St Dublin, CA 94568",37.7052,-121.932745,1,rooftop,7201,"Regional St",,,Dublin,CA,"Alameda County",94568,US,Alameda
"1030 Colorado Blvd. Eagle Rock, CA 90041",34.137473,-118.188766,1,rooftop,1030,"Colorado Blvd",,,"Los Angeles",CA,"Los Angeles County",90041,US,"Los Angeles"
"1775 East Bayshore Road East Palo Alto, CA 94303",37.458601,-122.136814,1,range_interpolation,1775,"E Bayshore Rd",,,"East Palo Alto",CA,"San Mateo County",94303,US,"TIGER/Line® dataset from the US Census Bureau"
"12471 Limonite Ave Eastvale, CA 91752",33.975432,-117.555053,1,range_interpolation,12471,"Limonite Ave",,,Eastvale,CA,"Riverside County",91752,US,"TIGER/Line® dataset from the US Census Bureau"
"14220 Schleisman Rd Eastvale, CA 92880",33.960242,-117.593897,1,rooftop,14220,"Schleisman Rd",,,Eastvale,CA,"Riverside County",92880,US,Riverside
"250 Broadway El Cajon, CA 92021",32.809791,-116.959342,1,rooftop,250,Broadway,,,"El Cajon",CA,"San Diego County",92021,US,"San Diego Geographic Information Source - JPA"
"2911 Jamacha Rd El Cajon, CA 92019",32.738689,-116.93896,1,rooftop,2911,"Jamacha Rd",,,"El Cajon",CA,"San Diego County",92019,US,"San Diego Geographic Information Source - JPA"
"426 East Chase Avenue, Chase Avenue And Avocado Boulevard El Cajon, CA 92020",32.781054,-116.956903,1,rooftop,426,"E Chase Ave",,,"El Cajon",CA,"San Diego County",92020,US,"San Diego Geographic Information Source - JPA"
"1299 Broadway El Cajon, CA 92021",32.807367,-116.93657,1,rooftop,1299,Broadway,,,"El Cajon",CA,"San Diego County",92021,US,"San Diego Geographic Information Source - JPA"
"790 Jamacha Rd El Cajon, CA 92019",32.785688,-116.928564,1,rooftop,790,"Jamacha Rd",,,"El Cajon",CA,"San Diego County",92019,US,"San Diego Geographic Information Source - JPA"
"2760 Fletcher Pky El Cajon, CA 92020",32.801097,-117.003869,1,rooftop,2760,"Fletcher Pkwy",,,"El Cajon",CA,"San Diego County",92020,US,Sandoval
"572 Fletcher Pkwy El Cajon, CA 92020",32.808417,-116.969003,1,rooftop,572,"Fletcher Pkwy",,,"El Cajon",CA,"San Diego County",92020,US,Sandoval
"1745 S. Imperial Ave. El Centro, CA 92243",32.777789,-115.568871,1,rooftop,1745,"S Imperial Ave",,,"El Centro",CA,"Imperial County",92243,US,Imperial
"2295 N Imperial Ave El Centro, CA 92243",32.818455,-115.569736,1,range_interpolation,2295,"N Imperial Ave",,,"El Centro",CA,"Imperial County",92243,US,"TIGER/Line® dataset from the US Census Bureau"
"10650 San Pablo Ave El Cerrito, CA 94530",37.912676,-122.307974,1,rooftop,10650,"San Pablo Ave",,,"El Cerrito",CA,"Contra Costa County",94530,US,"Contra Costa"
"670 El Cerrito Plz El Cerrito, CA 94530",37.918024,-122.30248,0.33,place,,,,,"El Cerrito",CA,"Contra Costa County",94530,US,"TIGER/Line® dataset from the US Census Bureau"
"4400 Town Center Blvd El Dorado Hills, CA 95762",38.650083,-121.062391,1,rooftop,4400,"Town Center Blvd",,,"El Dorado Hills",CA,"El Dorado County",95762,US,"El Dorado"
"4330 Latrobe Rd El Dorado Hills, CA 95762",38.645617,-121.068601,0.66,nearest_rooftop_match,4400,"Latrobe Rd",,,"El Dorado Hills",CA,"El Dorado County",95762,US,"El Dorado"
"7505 Laguna Blvd Elk Grove, CA 95758",38.426326,-121.415476,1,rooftop,7505,"Laguna Blvd",,,"Elk Grove",CA,"Sacramento County",95758,US,"City of Elk Grove"
"8400 Bradshaw Rd.. Elk Grove, CA 95624",38.452179,-121.335614,1,rooftop,8400,"Bradshaw Rd",,,"Elk Grove",CA,"Sacramento County",95624,US,"City of Elk Grove"
"5040 Laguna Blvd Elk Grove, CA 95758",38.422183,-121.446721,1,rooftop,5040,"Laguna Blvd",,,"Elk Grove",CA,"Sacramento County",95758,US,"City of Elk Grove"
"8585 Elk Grove Blvd Elk Grove, CA 95624",38.410124,-121.385116,1,rooftop,8585,"Elk Grove Blvd",,,"Elk Grove",CA,"Sacramento County",95624,US,"City of Elk Grove"
"9285 Elk Grove Blvd Elk Grove, CA 95624",38.409397,-121.353799,1,rooftop,9285,"Elk Grove Blvd",,,"Elk Grove",CA,"Sacramento County",95624,US,"City of Elk Grove"
"11574 Lower Azusa Rd El Monte, CA 91732",34.090667,-118.015405,1,rooftop,11574,"Lower Azusa Rd",,,"El Monte",CA,"Los Angeles County",91732,US,"Los Angeles"
"9920 East Garvey Avenue El Monte, CA 91733",34.061993,-118.051948,0.8,rooftop,9920,"Garvey Ave",,,"El Monte",CA,"Los Angeles County",91733,US,"Los Angeles"
"11940 Garvey Avenue El Monte, CA 91732",34.06201,-118.020704,1,rooftop,11940,"Garvey Ave",,,"El Monte",CA,"Los Angeles County",91732,US,"Los Angeles"
"1555 40th Street Emeryville, CA 94608",37.828915,-122.28813,1,rooftop,1555,"40th St",,,Emeryville,CA,"Alameda County",94608,US,Alameda
